customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day
5802.065978,97541,72,22,1,0,3,389.185006,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,2,Call Center,Four-Door Car,Large,January,Saturday
3946.372085,0,111,15,47,0,1,799.2,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Small,February,Monday
3235.360468,75690,80,17,44,1,1,384.0,Oregon,No,Extended,Master or above,Employed,F,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Small,February,Monday
2454.58354,23158,63,4,6,1,1,322.294043,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L2,4,Call Center,Four-Door Car,Small,February,Monday
18975.45611,65999,237,1,14,0,6,615.927769,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,L2,2,Agent,Luxury Car/SUV,Medsize,January,Saturday
4715.321344,0,65,19,56,0,3,308.15089,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,January,Tuesday
5018.885233,54500,63,28,17,0,6,302.4,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,L2,1,Agent,Two-Door Car,Small,January,Tuesday
4932.916345,37260,62,19,42,0,8,15.437681,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L1,3,Web,Four-Door Car,Medsize,February,Sunday
5744.229745,68987,71,11,40,0,6,204.475147,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,January,Saturday
13891.73567,42305,117,10,62,0,2,561.6,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,January,Saturday
7380.976717,65706,91,19,86,0,8,436.8,Oregon,No,Extended,Master or above,Employed,F,Suburban,Married,Personal Auto,L3,2,Web,Four-Door Car,Small,February,Sunday
3090.034104,0,90,7,79,0,1,648.0,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L2,3,Agent,Two-Door Car,Small,January,Tuesday
2521.633095,53243,66,4,15,2,1,157.397849,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,February,Monday
2652.061785,0,70,7,1,1,1,484.318536,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,L3,3,Call Center,Two-Door Car,Medsize,January,Tuesday
2771.045031,50071,71,3,32,0,1,18.918935,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,L3,2,Agent,Two-Door Car,Medsize,January,Tuesday
3939.00637,60021,99,12,28,0,1,882.871945,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,L2,2,Agent,Four-Door Car,Small,January,Friday
12231.87968,43244,103,15,16,0,2,494.4,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,4,Agent,Sports Car,Medsize,February,Tuesday
2443.665166,92834,61,15,56,0,1,292.8,Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,L2,2,Call Center,Four-Door Car,Large,February,Wednesday
12819.10289,10105,172,5,4,3,3,0.517753,Oregon,No,Premium,Master or above,Disabled,F,Rural,Married,Personal Auto,L2,1,Branch,SUV,Medsize,January,Tuesday
4468.510542,0,73,7,57,3,5,579.165954,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,3,Call Center,Four-Door Car,Medsize,January,Monday
5514.344018,23218,71,7,10,0,4,447.79344,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,L2,4,Agent,Two-Door Car,Medsize,January,Sunday
3343.875326,0,92,11,77,0,1,529.624084,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,L2,2,Call Center,Four-Door Car,Medsize,February,Monday
2294.478927,0,62,11,56,0,1,313.023175,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,L2,4,Branch,Four-Door Car,Medsize,January,Tuesday
36707.42639,24804,104,1,28,0,2,593.830288,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L2,1,Agent,SUV,Small,January,Monday
7983.431709,36014,69,4,40,3,2,173.956072,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,L1,4,Branch,Four-Door Car,Medsize,February,Monday
4854.745666,29834,64,19,44,0,3,307.2,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,L3,4,Agent,Four-Door Car,Medsize,February,Wednesday
4293.997319,16701,113,20,26,0,1,831.625979,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Personal Auto,L2,1,Branch,Four-Door Car,Small,January,Monday
7164.395543,46623,91,1,53,0,3,436.8,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,L3,3,Call Center,Four-Door Car,Small,February,Saturday
7619.5158,64749,64,24,59,0,2,302.56519,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,L2,2,Branch,Four-Door Car,Medsize,February,Sunday
3958.002823,0,101,29,12,0,1,484.8,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,L2,1,Call Center,SUV,Small,February,Wednesday
4458.113369,17622,65,1,36,1,3,312.0,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,January,Sunday
8110.333139,11489,105,4,50,0,6,504.0,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,L3,1,Call Center,Two-Door Car,Small,January,Saturday
3339.764873,0,94,20,53,0,1,863.327324,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Two-Door Car,Small,January,Saturday
24261.01777,66525,100,0,86,0,2,104.331355,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,SUV,Medsize,January,Thursday
6613.973653,0,63,21,28,0,2,676.391482,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,L3,3,Branch,Four-Door Car,Large,January,Sunday
2930.693543,33663,73,29,71,0,1,350.4,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,3,Web,Four-Door Car,Medsize,January,Monday
8672.194272,22547,112,7,60,0,3,537.6,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,L3,1,Agent,SUV,Medsize,January,Wednesday
11638.66926,61486,97,5,65,0,2,465.258644,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,L3,4,Branch,Two-Door Car,Small,January,Monday
6846.150323,0,95,13,20,0,5,456.0,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,L3,1,Call Center,Two-Door Car,Large,January,Thursday
11727.77648,29879,102,17,0,0,2,500.254235,California,No,Premium,College,Disabled,F,Suburban,Married,Personal Auto,L3,3,Web,Four-Door Car,Medsize,January,Sunday
22643.83478,93011,113,17,12,0,2,281.451042,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,L3,4,Agent,SUV,Medsize,February,Thursday
2614.474305,65186,65,29,27,0,1,5.434505,Oregon,No,Basic,Master or above,Employed,M,Rural,Married,Personal Auto,L2,2,Web,Two-Door Car,Large,February,Friday
2451.752695,26840,64,1,47,2,1,307.2,Oregon,No,Basic,Master or above,Medical Leave,M,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,February,Saturday
6781.270203,0,104,30,3,1,5,982.399613,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Sports Car,Medsize,February,Friday
4974.801539,75644,65,5,68,3,9,467.803638,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,L3,2,Branch,Two-Door Car,Medsize,January,Tuesday
8591.604933,38984,73,27,38,0,2,350.4,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Small,February,Friday
5592.161392,71811,71,17,48,0,6,29.03416,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,L1,2,Call Center,Four-Door Car,Medsize,February,Tuesday
8009.472833,20961,67,20,33,0,2,321.6,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L1,2,Agent,Four-Door Car,Medsize,February,Tuesday
11318.08982,38923,99,6,83,2,2,115.728852,Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Sunday
58166.55351,61321,186,0,30,1,2,427.63121,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,L3,2,Branch,Luxury Car/SUV,Small,February,Sunday
8025.229358,0,77,20,26,0,2,25.807685,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,L3,3,Branch,Two-Door Car,Large,January,Wednesday
5780.182197,51066,74,23,0,0,8,787.993313,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,2,Call Center,Four-Door Car,Medsize,February,Saturday
4118.539113,34378,102,12,54,0,1,489.6,California,No,Basic,Master or above,Employed,M,Suburban,Married,Personal Auto,L1,3,Branch,SUV,Medsize,January,Thursday
6554.216396,25222,90,28,69,0,3,475.623251,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,L3,2,Agent,Four-Door Car,Small,January,Thursday
7703.397294,36765,66,15,32,1,2,320.849072,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,February,Monday
5926.729379,23091,96,28,90,5,5,460.8,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,January,Tuesday
2683.470677,48269,69,3,79,3,1,282.151207,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,L2,3,Web,Four-Door Car,Medsize,January,Saturday
2695.182419,32720,67,13,12,0,1,321.6,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,L2,3,Branch,Four-Door Car,Medsize,February,Tuesday
6047.02516,20396,76,15,60,1,4,364.8,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,L3,1,Branch,Four-Door Car,Medsize,February,Saturday
13171.01282,21513,119,21,81,1,2,679.827592,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal Auto,L3,2,Branch,Two-Door Car,Small,January,Thursday
10656.88195,72540,88,7,3,0,2,631.743039,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,L3,2,Call Center,Two-Door Car,Medsize,February,Sunday
2527.653796,80744,63,24,84,0,1,11.879037,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,January,Monday
2672.095756,52822,67,23,88,0,1,350.529033,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,L1,1,Branch,Two-Door Car,Small,February,Thursday
5313.294035,0,77,8,10,1,9,863.3947,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,January,Monday
20946.19251,69738,74,2,26,1,2,492.127532,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,L3,1,Branch,Four-Door Car,Large,February,Thursday
8375.353929,17780,109,12,18,0,9,132.588288,Arizona,No,Basic,Master or above,Medical Leave,F,Rural,Married,Personal Auto,L3,1,Branch,SUV,Medsize,February,Tuesday
4801.661503,18107,62,29,11,0,8,297.6,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,February,Wednesday
5745.94334,57740,74,30,87,3,9,269.905129,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,L1,3,Web,Four-Door Car,Medsize,January,Saturday
6066.115969,32627,76,11,60,0,7,380.036697,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,L2,1,Agent,Two-Door Car,Small,February,Friday
8002.308333,0,107,3,65,0,3,513.6,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,L3,1,Agent,SUV,Medsize,January,Tuesday
2393.915369,0,70,24,10,0,1,425.266308,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,January,Monday
4762.8179,65795,62,2,85,1,3,49.011099,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,L3,3,Call Center,Two-Door Car,Medsize,January,Wednesday
4330.38602,60475,107,9,18,0,1,513.6,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,February,Wednesday
9402.729769,0,130,28,88,0,4,936.0,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,L3,1,Web,SUV,Medsize,February,Wednesday
6966.694527,41837,88,29,93,0,9,142.062768,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Small,January,Wednesday
7694.064293,32303,65,13,34,0,2,45.152521,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L1,3,Branch,Four-Door Car,Medsize,January,Tuesday
8717.561149,0,117,5,89,1,3,561.6,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,L1,1,Agent,SUV,Medsize,January,Sunday
5928.748528,40531,74,17,32,0,9,30.567357,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Two-Door Car,Medsize,January,Thursday
2452.977288,79898,62,5,86,1,1,271.606799,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,L1,4,Agent,Four-Door Car,Medsize,February,Monday
6701.571657,56398,85,4,18,0,7,408.0,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,L3,4,Agent,Four-Door Car,Small,February,Sunday
7556.24034,35257,98,16,2,1,8,470.4,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,L2,2,Web,Four-Door Car,Small,February,Saturday
8492.6988,27804,109,19,54,0,7,784.8,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,SUV,Medsize,February,Saturday
7713.494046,45506,66,16,32,2,2,316.8,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Sunday
24084.5352,65196,67,0,54,0,2,396.082036,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,4,Branch,Four-Door Car,Medsize,February,Wednesday
7290.069769,0,102,11,70,1,3,489.6,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Agent,SUV,Medsize,February,Tuesday
2469.781334,92711,62,24,10,0,1,368.400146,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,L2,3,Agent,Two-Door Car,Medsize,January,Saturday
3103.923041,74665,78,10,90,2,1,236.902001,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,L2,2,Call Center,Four-Door Car,Medsize,February,Saturday
2981.875575,0,83,26,89,0,1,582.679087,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,L2,3,Web,Two-Door Car,Medsize,February,Thursday
8902.737595,46833,112,6,3,0,9,64.109663,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,L3,1,Call Center,Sports Car,Medsize,January,Wednesday
5499.447223,88768,68,17,77,0,7,326.4,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,L3,3,Branch,Two-Door Car,Small,January,Friday
15023.59858,28262,192,9,77,0,3,921.6,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L3,3,Web,Luxury Car/SUV,Medsize,January,Wednesday
2509.107875,33555,63,17,11,0,1,101.89645,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Wednesday
31221.7481,42780,113,10,27,1,2,542.4,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,January,Monday
3133.503432,58850,78,20,26,0,1,143.747794,Oregon,No,Extended,Master or above,Employed,F,Rural,Single,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,February,Monday
3837.451863,21880,97,29,37,0,1,424.077159,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,L2,1,Branch,Four-Door Car,Medsize,January,Thursday
11790.49617,25251,66,13,43,0,2,316.8,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,L2,2,Web,Four-Door Car,Medsize,January,Monday
7838.068321,0,69,9,12,0,2,2.704934,Washington,No,Basic,Master or above,Unemployed,F,Rural,Married,Personal Auto,L1,2,Agent,Four-Door Car,Medsize,February,Thursday
4305.808345,24188,109,14,82,0,1,523.2,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L3,1,Agent,Sports Car,Medsize,January,Friday
5973.976904,41611,74,14,8,0,8,113.801497,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,L2,1,Branch,Four-Door Car,Medsize,January,Wednesday
5670.442396,28406,72,16,35,1,4,192.87572,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,January,Monday
8026.379641,0,74,15,91,0,2,532.8,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,L2,1,Web,Four-Door Car,Small,February,Monday
4022.963529,0,117,6,1,0,1,975.107098,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,SUV,Medsize,January,Wednesday
9618.310865,80536,119,5,83,0,3,53.798708,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,L2,1,Branch,Sports Car,Medsize,January,Tuesday
2274.775451,0,63,2,5,0,1,606.642452,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,L2,2,Agent,Four-Door Car,Small,January,Saturday
9552.926922,97732,79,0,70,0,2,289.9122,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,L3,4,Branch,Four-Door Car,Medsize,February,Tuesday
10388.55323,61222,89,20,55,0,2,392.604371,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,L3,3,Branch,Four-Door Car,Small,January,Tuesday
2470.121222,0,74,7,20,0,1,721.242206,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L1,4,Web,Two-Door Car,Large,January,Sunday
5619.068508,50335,140,9,54,0,1,456.52385,Arizona,No,Premium,Master or above,Employed,M,Urban,Married,Personal Auto,L2,1,Call Center,SUV,Medsize,February,Friday
9047.119209,0,127,30,11,0,6,1087.995426,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,L2,3,Branch,Sports Car,Medsize,January,Friday
6692.143668,63221,168,28,49,0,1,806.4,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,3,Agent,SUV,Medsize,February,Wednesday
3731.504584,0,96,31,34,0,1,460.8,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Large,February,Thursday
7928.829252,0,72,7,75,0,2,345.6,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,L3,1,Call Center,Four-Door Car,Medsize,January,Sunday
5011.751577,28859,67,24,51,3,4,321.6,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,L2,1,Call Center,Two-Door Car,Medsize,January,Sunday
7988.258292,77330,99,0,21,0,3,99.257608,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,L3,2,Web,Four-Door Car,Medsize,February,Tuesday
3885.456401,0,105,3,92,0,1,504.0,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Branch,Four-Door Car,Large,February,Monday
2659.337982,24495,70,29,65,0,1,336.0,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,L2,4,Branch,Four-Door Car,Small,January,Monday
8564.768226,95697,107,29,29,0,9,178.006524,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,L3,2,Agent,Sports Car,Medsize,February,Thursday
4885.162511,26372,126,11,7,0,1,604.8,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,L3,4,Agent,SUV,Medsize,February,Saturday
9753.307106,17514,127,2,5,0,3,8.312729,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal Auto,L1,1,Branch,SUV,Medsize,February,Thursday
2946.153697,89270,74,17,90,0,1,316.599228,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,February,Tuesday
2581.110945,29757,65,13,55,0,1,312.0,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,2,Web,Four-Door Car,Small,February,Sunday
3517.385764,51814,92,28,89,0,1,56.300724,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,L2,3,Agent,Four-Door Car,Medsize,January,Sunday
9743.350113,24028,82,14,27,0,2,393.6,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,L2,2,Agent,Four-Door Car,Small,January,Friday
3873.647046,28142,105,18,50,0,1,701.708239,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal Auto,L3,2,Agent,Sports Car,Medsize,January,Thursday
7649.28199,52705,64,14,8,1,2,128.705563,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L2,1,Web,Two-Door Car,Large,January,Thursday
2287.59692,0,63,1,5,0,1,679.368378,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,L3,2,Agent,Two-Door Car,Medsize,February,Tuesday
4475.424592,84903,111,7,63,0,1,497.126827,Washington,No,Basic,College,Employed,F,Urban,Married,Personal Auto,L1,1,Agent,SUV,Medsize,February,Sunday
8714.922135,0,118,14,64,0,4,566.4,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,L3,1,Agent,SUV,Medsize,February,Monday
2248.449633,24910,63,7,63,1,1,347.857619,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,January,Saturday
7416.197322,0,77,15,12,2,2,554.4,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Tuesday
7771.158973,21876,68,12,28,0,2,465.41477,Oregon,No,Basic,Master or above,Medical Leave,M,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,February,Monday
